bfs_number,bfs_name,pop,pop_dens,frg_pct,emp,mean_taxable_income,,
1,Aeugst am Albis,1981,250.4424779,14.18475517,442, CHF 105'013.57 ,,
2,Affoltern am Albis,12303,1161.756374,28.700317,6920, CHF 71'059.81 ,,
3,Bonstetten,5572,749.9327052,16.5649677,1014, CHF 88'927.70 ,,
4,Hausen am Albis,3751,275.8088235,16.02239403,1021, CHF 86'300.46 ,,
5,Hedingen,3778,578.56049,16.41079936,1478, CHF 90'811.21 ,,
6,Kappel am Albis,1221,154.1666667,17.52661753,319, CHF 87'984.11 ,,
7,Knonau,2378,367.5425039,18.29268293,566, CHF 79'514.42 ,,
8,Maschwanden,645,137.5266525,12.86821705,175, CHF 75'078.32 ,,
9,Mettmenstetten,5200,399.0790484,14.76923077,1680, CHF 86'996.41 ,,
10,Obfelden,5721,758.7533156,21.46477888,1252, CHF 75'105.75 ,,
11,Ottenbach,2588,515.5378486,13.13755796,683, CHF 81'526.45 ,,
12,Rifferswil,1129,173.4254992,10.71744907,250, CHF 88'397.62 ,,
13,Stallikon,3755,312.3960067,22.29027963,775, CHF 97'786.53 ,,
14,Wettswil am Albis,5240,1389.920424,17.11832061,1302, CHF 117'836.81 ,,
21,Adlikon,698,106.0790274,10.6017192,149, CHF 68'920.96 ,,
22,Benken (ZH),845,149.2932862,12.78106509,249, CHF 78'465.09 ,,
23,Berg am Irchel,577,82.31098431,8.838821491,137, CHF 76'676.63 ,,
24,Buch am Irchel,979,95.8863859,7.252298264,200, CHF 81'625.76 ,,
25,Dachsen,1916,709.6296296,13.30897704,455, CHF 80'058.66 ,,
26,Dorf,658,118.3453237,9.878419453,129, CHF 82'346.69 ,,
27,Feuerthalen,3614,1457.258065,22.49584947,1165, CHF 71'714.20 ,,
28,Flaach,1420,139.626352,15.42253521,809, CHF 74'928.30 ,,
29,Flurlingen,1477,612.8630705,14.21800948,, CHF 87'040.14 ,,
30,Andelfingen,2247,333.3827893,13.35113485,1551, CHF 83'329.59 ,,
31,Henggart,2234,737.2937294,9.042076992,631, CHF 78'911.41 ,,
32,Humlikon,485,131.7934783,8.24742268,149, CHF 81'373.63 ,,
33,Kleinandelfingen,2074,201.5549077,12.19864995,1083, CHF 73'847.92 ,,
34,Laufen-Uhwiesen,1761,280.4140127,13.79897785,472, CHF 93'635.80 ,,
35,Marthalen,1918,135.7395612,11.36600626,1164, CHF 73'757.82 ,,
37,Ossingen,1668,127.4255157,11.75059952,426, CHF 69'648.63 ,,
38,Rheinau,1316,147.3684211,19.68085106,694, CHF 69'832.17 ,,
39,Thalheim an der Thur,938,145.6521739,9.594882729,256, CHF 75'491.39 ,,
